Date,tkrs_avg_roc_30d,tkrs_avg_std_30d,tkrs_avg_rs_roc_30d,tkrs_avg_vol_avg_roc_30d,tkrs_avg_turnover_avg_roc_30d,stock_idx_pct_change_30d,comm_idx_pct_change_30d,bond_idx_pct_change_30d,vol_idx_pct_change_30d
2015-03-30,0.009267654267902674,0.014060589871457455,-0.11893744981147225,-0.04738637515140787,-0.05076703752908185,0.0060169671854182205,-0.056284120098862855,0.0024602017645172225,-0.012253189696603717
2015-03-31,0.0029810207072361755,0.014054223429537363,-0.1526072676612643,-0.050512466782775545,-0.05825736749058086,0.011845674456031796,-0.06772251362548443,-0.00817156163602728,-0.03227849510919001
2015-04-01,-0.003239161761505179,0.014147054684533313,-0.26526921818865545,-0.03882472657662728,-0.050884107023925096,0.012285333431915735,-0.03924830952176639,-0.010567688519223406,-0.022006482639824854
2015-04-02,-0.001353745665161782,0.014134263413584737,-0.3113065824048623,-0.030244550242481516,-0.05550975093683008,0.011747332830833734,-0.041042870690843114,-0.007151243985318412,-0.04054937129535108
2015-04-06,-0.0013633783095789323,0.014177196270569358,-0.29937510880233076,-0.02752453582518244,-0.06267820422775527,0.012200342502157069,-0.025055621795760707,-0.005889735054067646,0.03076920101500291
2015-04-07,-0.001844491317253221,0.0142063641147666,-0.2200466258852929,-0.03240681169614168,-0.06589628395479907,0.010552664132392975,-0.013452969901077694,-0.009108826804574921,0.015109842514708038
2015-04-08,0.0004740126958135192,0.014204252908623058,-0.2598019675289607,-0.03655458163840253,-0.07027597425418364,0.006191969302814515,-0.03305319246629068,-0.007150666235492431,0.021183343370482888
2015-04-09,0.004842915471119015,0.014092846939737466,-0.26928616964076135,-0.051500944195519316,-0.08240981213738008,0.0029449588607690647,-0.047461451058716464,-0.003301437267829721,-0.05419075084762626
2015-04-10,0.011583703369917887,0.013924392829995061,-0.23663230481558983,-0.0635342271826963,-0.09085038196639339,0.006561652316928068,-0.029493667046485594,0.0020197552956340292,-0.09561466127215634
2015-04-13,0.012750719776504901,0.01390606502724446,-0.25509696641259005,-0.055114341319297044,-0.08941700232829553,0.005110290962874853,-0.044578891151969224,0.0016417337274556854,0.04497746783601153
2015-04-14,0.002952837047237993,0.013623134166680801,-0.3809845076817048,-0.062408260527262116,-0.09665335754210136,0.011331368692395039,-0.026242483480528378,-0.0030112220797717804,0.048312892353060466
2015-04-15,0.01348709898709608,0.013691120698890094,-0.267563365603231,-0.059669148973808706,-0.09440636287278348,0.013977226822090794,-0.012763594362318442,0.0061543766739387,-0.07359303963604047
2015-04-16,0.018489783176402114,0.013576421947593361,-0.22362032628963224,-0.06443711025041987,-0.099508042924777,0.012881348783502888,0.006718841883571303,0.009761542263335699,-0.11454667696429432
2015-04-17,0.0022837002564941155,0.013921636489898187,-0.2864954882574131,-0.05633018166697301,-0.08694689512186082,0.013238958963723624,0.008431793811873867,-0.003522872045249037,-0.01068373354258012
2015-04-20,0.024448477335521426,0.01375850035785374,-0.03372662508903701,-0.06709935013519253,-0.09051805831457682,0.019159211247111063,0.016505532717692617,0.01870670962432519,-0.12499997647185046
2015-04-21,0.01961893245422444,0.013911507125984933,-0.09905403013393366,-0.07102595449331117,-0.08980780963489254,0.015470819662786184,0.01198618092491488,0.014649665444620652,-0.12018594748902178
2015-04-22,0.041570078989315064,0.0135189206903221,0.18115081573681824,-0.07372431815472047,-0.08864018058565759,0.010076945212080357,0.02891845631316925,0.03466641609505006,-0.23846616947609167
2015-04-23,0.0397377324420576,0.013628672553895783,0.09173879912327387,-0.07284488927895272,-0.08589331150391333,0.009606895403809101,0.03624865715201908,0.03866442620524069,-0.2602253158629101
2015-04-24,0.02418373160260408,0.013510975825205166,-0.14948204708225887,-0.07151859708543185,-0.07778980701173888,0.010506618019854308,0.04046236571783046,0.026932310409933047,-0.20298314519808902
2015-04-27,0.02385053839318503,0.013589594453875947,-0.08029939538213737,-0.046796066394428126,-0.059775016484811205,0.012792983460720553,0.061946867597301836,0.027339287896417375,-0.18000000715255737
2015-04-28,0.012600310519508308,0.013292299849544503,-0.290183736476719,-0.033637966279697395,-0.046194338610046404,0.006699316921408682,0.0649735723776228,0.017309765654144105,-0.20499678921493902
2015-04-29,0.010074116996553707,0.013662971259417012,-0.24507341844508623,-0.02080890142565983,-0.028804416782495568,0.004615998687958589,0.07971443569257786,0.014822736854833707,-0.1449552698727825
2015-04-30,-0.008405433453169322,0.013622415158075081,-0.306936867152631,-0.01876101218261972,-0.02609331271157289,-0.0026905334549088833,0.05906208931929413,-0.0075491597272676625,0.04151753132567482
2015-05-01,0.009189222096539782,0.013880216479361192,-0.21445951185121337,-0.014679262413373695,-0.012873874205457048,-0.002026238777355971,0.07597187508832204,0.0051444017942687825,-0.09737028537840331
2015-05-04,0.0033361902694711535,0.01374763001781365,-0.22526863557251675,-0.04922934904729803,-0.04989501097950089,-0.006967822698310977,0.06101112350843385,0.00028912907806777355,-0.01305684103817184
2015-05-05,-0.007885933324924708,0.01399527172749305,-0.2845540813570582,-0.03624665961511553,-0.04061620862765236,-0.008048064501853469,0.0574380314350218,-0.00989642289772974,0.06711413739339256
2015-05-06,-0.005004741845923839,0.014052267990537942,-0.2574587491770347,-0.03667320911013883,-0.038844324517060436,-0.014039292870241749,0.06601035515747489,-0.007393091668133955,0.11233478310035871
2015-05-07,0.01714216221485522,0.01375295082328868,0.021883500467142047,-0.04050354546842705,-0.039489613591737305,-0.009749415766135971,0.04618945202171143,0.012173248209185417,-0.020077686163686215
