Date,stock,q_price,q_log_return,peRatio,marketCap,priceToSalesRatio,ptbRatio,enterpriseValueOverEBITDA,netIncomePerShare,roe,returnOnTangibleAssets,freeCashFlowPerShare,operatingCashFlowPerShare,currentRatio,debtToEquity,capexToOperatingCashFlow,grahamNumber,incomeQuality
2000-09-30,ETN,6.925124645233154,-0.10225556400744629,10.350967741935483,3850560000.0,1.757444089456869,1.340724233983287,23.12390243902439,0.3229166666666667,0.03238161559888579,0.015364282174128531,0.2951388888888889,0.5972222222222222,1.453125,0.9811977715877437,-0.5058139534883721,8.512016628469032,1.8494623655913978
2000-12-31,ETN,6.22025203704834,-0.10734562486712762,14.425714285714283,4847039999.999999,3.3244444444444436,2.011219917012448,61.173543307086604,0.2916666666666667,0.034854771784232366,0.015005359056806002,-0.3645833333333333,0.1527777777777778,1.220218319886094,1.2464730290456432,-3.3863636363636362,7.410490171596837,0.5238095238095238
2001-03-31,ETN,9.28273105621338,0.4003453719965182,23.6394,4727880000.0,2.3842057488653556,1.948034610630408,46.551411042944785,0.18115942028985507,0.020601565718994644,0.008775008775008775,0.16666666666666666,0.39492753623188404,1.3635486981677918,1.2278533168520807,-0.5779816513761468,5.986900871201051,2.18
2001-06-30,ETN,9.393492698669434,0.01186138509768897,24.84979591836735,4870560000.0,2.6031854623196153,1.981513425549227,32.23721739130435,0.17625899280575538,0.019934906427990236,0.009085852030409791,0.4172661870503597,0.6906474820143885,1.5221822541966428,1.0777054515866558,-0.3958333333333333,5.921550568958074,3.9183673469387754
2001-09-30,ETN,10.113799095153809,0.07388355497573151,25.8216,4131456000.0,2.360832,1.6835599022004888,41.79516883116883,0.14367816091954022,0.016299918500407497,0.007343491830365339,0.46695402298850575,0.6968390804597702,1.376063829787234,1.0252648736756316,-0.32989690721649484,5.338131929526222,4.85
2001-12-31,ETN,8.340409278869629,-0.19278844905432724,43.15200000000001,5178240000.0,3.055008849557522,2.092218181818182,42.16988764044944,0.10775862068965517,0.012121212121212121,0.0057570523891767415,0.639367816091954,0.9698275862068966,1.4301977231875374,0.9858585858585859,-0.34074074074074073,4.642696104421898,9.0
2002-03-31,ETN,10.535337448120115,0.23362278851733453,42.86721212121212,5658472000.0,3.2840812536273942,2.257069006781013,47.179707317073174,0.11768901569186876,0.01316314319904268,0.006449091264412742,0.15335235378031384,0.29600570613409416,1.420611144397843,0.9337854008775429,-0.4819277108433735,4.86572305898414,2.515151515151515
2002-06-30,ETN,11.486005783081056,0.08639432804265379,14.641215909090912,5153708000.0,2.7398766613503454,1.9967872917473848,27.14010687022901,0.30513176144244103,0.03409531189461449,0.01688735367491844,0.6414701803051318,0.8044382801664355,1.3227513227513228,0.8829910887253003,-0.2025862068965517,7.838470737102694,2.6363636363636362
2002-09-30,ETN,10.22405242919922,-0.1163863802579379,12.134967741935483,4514208000.0,2.4667803278688525,1.7329013435700575,23.903906976744185,0.3283898305084746,0.03570057581573896,0.01833596214511041,0.9745762711864406,1.1581920903954803,1.350328947368421,0.7800383877159309,-0.15853658536585366,8.244101842287598,3.5268817204301075
2002-12-31,ETN,9.475628852844238,-0.07601990721415497,21.016611940298507,5632452000.0,3.1732123943661974,2.446764552562989,34.284538116591925,0.23231622746185854,0.029105125977410946,0.01420093259855871,0.5825242718446602,0.891123439667129,1.4169550173010381,0.9070373588184187,-0.3463035019455253,6.459309047810621,3.8358208955223883
2003-03-31,ETN,11.589181900024414,0.20134894969028183,17.514291666666665,5044116000.0,2.62032,2.119376470588235,31.11945374449339,0.24965325936199723,0.030252100840336135,0.01493156366652841,-0.16296809986130376,-0.013869625520110958,1.3443080357142858,0.8735294117647059,10.75,6.808488837151279,-0.05555555555555555
