DATE,AAPL,ADBE,AJG,ANSS,APH,ATVI,AZO,BRO,CHD,CPRT,FDS,FICO,GILD,INTU,JBHT,LOW,MNST,NVR,ODFL,ORLY,POOL,QCOM,RMD,ROST,STZ,TJX,TSCO,TYL,UNH,WST
1997-01-03,0.1648328900337219,4.795903205871582,3.2950963973999023,3.21875,0.6202269196510315,0.931930661201477,24.0,0.8387169241905212,1.3434585332870483,0.1354169994592666,3.637066841125488,11.033580780029297,0.5947388410568237,4.8123779296875,2.7783753871917725,3.163813591003418,0.0117189995944499,12.875,0.9195491671562196,3.9375,1.3703045845031738,1.5842018127441406,1.140788197517395,1.236591100692749,3.273719787597656,1.0452911853790283,1.0956419706344604,2.0,4.719026565551758,4.7253098487854
1997-01-10,0.1383080333471298,4.811224937438965,3.2678661346435547,2.03125,0.6167623400688171,1.023296594619751,20.625,0.823185384273529,1.3136036396026611,0.1367190033197403,3.615025520324707,11.31740379333496,0.6598349809646606,5.409265041351318,2.7783753871917725,3.2538845539093018,0.0126949995756149,13.0,0.8874717354774475,4.03125,1.3042657375335691,1.7679492235183716,1.1673179864883425,1.2488960027694702,3.315690517425537,1.062760591506958,1.0757206678390503,2.0,4.668283939361572,4.7041215896606445
1997-01-17,0.126940906047821,4.587213516235352,3.2950963973999023,2.28125,0.623691737651825,1.0324327945709229,21.5,0.846483051776886,1.3285311460494995,0.1484380066394806,3.548895835876465,11.140018463134766,0.7219715714454651,5.222737789154053,2.76613450050354,3.1573116779327397,0.0120440004393458,13.75,0.9088567495346068,4.3125,1.3372843265533447,1.9467307329177856,1.180582880973816,1.1135473251342771,3.1897780895233154,1.0016158819198608,1.0757206678390503,2.0,4.38920259475708,4.7490553855896
1997-01-24,0.1278881132602691,4.418452262878418,3.2950963973999023,2.3125,0.7207103371620178,1.055274486541748,21.625,0.8309507369995117,1.492730736732483,0.1484380066394806,3.615025520324707,11.565747261047363,0.7101361155509949,4.756422519683838,2.839571952819824,2.965617656707764,0.0110680004581809,13.0,0.855394184589386,4.21875,1.386813044548035,2.2198686599731445,1.1540532112121582,1.0950913429260254,3.133817195892334,0.9608529210090636,1.0491596460342407,2.25,4.807826995849609,4.706462860107422
1997-01-31,0.1259936839342117,4.648581981658936,3.2814817428588867,2.375,0.7137808203697205,1.0598423480987549,21.625,0.81541907787323,1.5225865840911863,0.1796880066394806,3.637066841125488,11.459315299987791,0.7722729444503784,4.364716053009033,2.7512264251708984,2.988171100616455,0.0110680004581809,12.875,0.8660867810249329,4.125,1.4198333024978638,2.2248339653015137,1.1606855392456057,1.0089596509933472,3.1478078365325928,0.925912082195282,1.0757206678390503,2.25,4.947366714477539,4.7277607917785645
1997-02-07,0.1198356449604034,4.479820728302002,3.335945844650269,2.21875,0.7068505883216858,1.0507065057754517,22.5,0.823185384273529,1.6039769649505615,0.1881510019302368,3.52685284614563,11.494793891906738,0.8018620014190674,4.010315895080566,2.7757906913757324,2.9994468688964844,0.0122069995850324,13.0,0.855394184589386,4.03125,1.4198333024978638,2.304292678833008,1.2734378576278689,1.082785964012146,3.091845989227295,0.9275992512702942,1.1155622005462646,2.0,4.744395732879639,4.770351886749268
1997-02-14,0.1236246898770332,4.6025567054748535,3.376791715621948,2.25,0.7033859491348267,1.1329355239868164,24.125,0.8506559729576111,1.6039769649505615,0.180989995598793,3.350511074066162,10.998101234436035,0.7663554549217224,4.178189277648926,2.738942623138428,3.021998405456543,0.0123699996620416,13.0,0.855394184589386,3.9375,1.5023820400238037,2.3787856101989746,1.1938481330871582,1.1196995973587036,3.3296804428100586,0.9684369564056396,1.1155622005462646,2.0,5.518215656280518,4.876832962036133
1997-02-21,0.124098315834999,4.525845050811768,3.349562406539917,2.03125,0.7033859491348267,1.160345435142517,24.375,0.8389502763748169,1.6564432382583618,0.1848960071802139,3.306424617767334,10.08088493347168,0.7338072657585144,3.693220376968384,2.7757906913757324,2.988171100616455,0.0117189995944499,13.25,0.8874717354774475,3.96875,1.4776171445846558,2.165241241455078,1.140788197517395,1.1443082094192505,3.3716514110565186,0.9626034498214722,1.1155622005462646,2.0,5.201078414916992,4.876832962036133
1997-02-28,0.1231510266661644,4.479820728302002,3.349562406539917,2.0625,0.7068505883216858,0.97761332988739,24.75,0.8506559729576111,1.596481204032898,0.1770830005407333,3.19621205329895,10.29386043548584,0.7219715714454651,3.376126527786255,2.726660966873169,3.2926244735717773,0.0123699996620416,12.75,0.9623181223869324,4.171875,1.5849298238754272,2.2124195098876958,1.0346684455871582,1.18122136592865,3.4416017532348637,0.9742715358734132,1.0225988626480105,2.0,5.074222087860107,4.7490553855896
1997-03-07,0.1250455230474472,4.13463020324707,3.47210693359375,2.0,0.7033859491348267,0.9867504835128784,25.5,0.8272439241409302,1.6639385223388672,0.1725260019302368,3.19621205329895,10.613326072692873,0.7101361155509949,3.264211416244507,2.7512264251708984,3.473046064376831,0.0104170003905892,13.75,0.994395673274994,4.578125,1.5849298238754272,2.334089994430542,1.0611984729766846,1.3682385683059692,3.1897780895233154,1.0267760753631592,0.9827572703361512,1.75,5.454788684844971,4.706462860107422
