,SARIMAX
2007-05-23,0.04658412773524761
2007-11-20,0.08948869296750385
2008-05-22,0.09902740681947425
2008-11-19,0.10887847020076773
2009-05-22,0.15649288885041582
2009-11-19,0.11260676866758414
2010-05-24,0.10492828156542071
2010-11-19,0.123628647102081
2011-05-23,0.09358167668726397
2011-11-18,0.09629787736019378
2012-05-22,0.0832257500277665
2012-11-21,0.05499618511178202
2013-05-24,0.08336169517146517
2013-11-21,0.08542069273120366
2014-05-27,0.08794697488188342
2014-11-21,0.07793909570553768
2015-05-27,0.09539138973959777
2015-11-23,0.0797452662794833
2016-05-25,0.07830363906737098
2016-11-22,0.11033333729189324
2017-05-25,0.07177131157561421
2017-11-22,0.0749264249701554
2018-05-25,0.08874303417703232
2018-11-23,0.0814053427321727
2019-05-29,0.0697992161940463
2019-11-25,0.07087774789990671
2020-05-28,0.10413353591329971
2020-11-24,0.1298019649762255
2021-05-27,0.09374983351301337
2021-11-24,0.06653640159308662
2022-05-26,0.09467800336008558
2022-11-25,0.0909238677622576
2023-05-30,0.09910344013892845
