,ElasticNet,SVR,RandomForest,GradientBoost,XGBoost
2007-11-20,0.09630608027777571,0.10516755175190147,0.09416157831380499,0.09679133681525785,0.10564938883202805
2008-05-22,0.11651124918187698,0.11525249922450377,0.11759858469258337,0.12281323128425341,0.1277693504877989
2008-11-19,0.13342027782939594,0.13149607103694347,0.13136311961923935,0.1379503398119746,0.13781072098277777
2009-05-22,0.14349426396369333,0.2003165824945559,0.14263260930460867,0.13578424719545487,0.13864100813731098
2009-11-19,0.09558686433274768,0.11640561966767081,0.09857493745132312,0.11307571568519924,0.1026025217178837
2010-05-24,0.08944471975365335,0.12237875923856124,0.0911781753335208,0.09414088558152368,0.10354508653027951
2010-11-19,0.0879027535433725,0.10935305034686996,0.09035783641885752,0.08572836694422763,0.09927117811143829
2011-05-23,0.07741522339280854,0.09366066685140062,0.07021893844770934,0.07044278347827108,0.07028652670156015
2011-11-18,0.1267819900744204,0.15944851723663742,0.13067775830168465,0.12729897680263155,0.13163043947253691
2012-05-22,0.061846338094775376,0.02312816968209287,0.06808525295490449,0.08426771012641938,0.08662306158059502
2012-11-21,0.06811820102939602,0.09412209028730714,0.07144551190314542,0.08095100328235129,0.07643489545539521
2013-05-24,0.07370609917089886,0.05916137824115705,0.07437152955702876,0.07735082283214961,0.07747696035968035
2013-11-21,0.07432175293152707,0.12572080725625875,0.08319014896640796,0.09181215493335552,0.08963139294968042
2014-05-27,0.07757508368259843,0.10383317503352259,0.07652747613825255,0.08021425761176879,0.08144761263203251
2014-11-21,0.07502919073429812,0.09892789133537296,0.07704829618316571,0.080959178984198,0.08863697291750929
2015-05-27,0.07785909738163528,0.08915425630970644,0.07716330453166739,0.07975229661789111,0.09074981074104542
2015-11-23,0.10148151052049985,0.12083543680458166,0.10113951644609012,0.10014180366144032,0.10533508840973757
2016-05-25,0.1153802525179073,0.11973112268746874,0.11252077277054094,0.10741306136355533,0.10921031593543643
2016-11-22,0.06935362339197533,0.17051664583239573,0.07545626925231233,0.07879675156531833,0.07792237575035182
2017-05-25,0.06346437245259802,0.07559948287266427,0.06757534870591314,0.07150272524956923,0.07933677386588345
2017-11-22,0.0654838428566417,0.09293363304104142,0.06600950041205253,0.06949217407171898,0.07478018864601804
2018-05-25,0.0836270251771425,0.11543507455739178,0.07882133368875095,0.0776214404580886,0.08221187200757556
2018-11-23,0.07130748258898406,0.10274263963644487,0.07138354334028646,0.07813055773616633,0.07146582152759157
2019-05-29,0.08143070533611567,0.06761320346644234,0.08942404930615394,0.0901688727765964,0.104365552376313
2019-11-25,0.07468989744361017,0.08618125966593032,0.07100281539824015,0.07576011991441728,0.07868161570204912
2020-05-28,0.1519389781026771,0.19544262482137767,0.1689297290848162,0.16964234140803122,0.1656438077557507
2020-11-24,0.10307015224598635,0.23531752894150698,0.10483589046786947,0.10998716051234253,0.10139318660707032
2021-05-27,0.09024093901848498,0.09739060945289381,0.08867888135831402,0.08580628314994415,0.08436401155856198
2021-11-24,0.0825296128880641,0.08554572629425188,0.09518322611798785,0.09980511444205083,0.10630302869512415
2022-05-26,0.10566127840787858,0.1233184566673421,0.10998558882133098,0.11216082895298206,0.11769781410525973
2022-11-25,0.11505513984276976,0.14439970432460092,0.10984242542167756,0.1198408776722052,0.12855596727846638
2023-05-30,0.0857511253152028,0.09368752255023699,0.08073535217876482,0.07848453228770083,0.08381260452942155
